Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,Capital
Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
DAR ES SALAM (STE) (SADES)," l'acquisition, l'exploitation, la vente de proprietes agricoles", 20 Rue Mansard,Casablanca,33.580635 : -7.628141, 27163,Tribunal de Casablanca,,Societe Anonyme, 20 000
SAHARA FISHERIES, armateur pour la peche, 160 Rue Mostapha El Maani,Casablanca,33.591702 : -7.611733, 41127,Tribunal de Casablanca,,Societe Anonyme, 100 000
ZAKI-PULLS," confection, commerce, vetements, bonneterie", 19-21 Avenue Driss Ben Nasser,Safi,32.291426 : -9.241511, 693,Tribunal de Safi,,Societe en Nom Collectif, 100 000
SOCORICE, entreprise de construction et de travaux divers, Ksar Ait Oualil Rich,Errachidia,32.260068 : -4.499128, 2151,Tribunal de Errachidia,,Societe a Responsabilite Limitee, 150 000
MEDITERRANEE (BAZAR), vente articles d'artisanats, 39 Rue Sebou,Tanger-Assilah,35.461774 : -6.037534, 6587,Tribunal de Tanger,,Societe Anonyme, 1 000 000
SOCIETE SOTRASAL, travaux electrique et transport," 30 Avenue Ahmed Chaouki, La Ville Haute",Kenitra,34.26263 : -6.59403, 27215,Tribunal de Kenitra,,Societe a Responsabilite Limitee, 100 000
SOCIETE ECOLE SUPERIEUR DE PODOLOGIE, enseignement de podologie formation et organisation de seminaire en relation avec ladite activite, 41 Rue Al Hatimi Les Orangers,Rabat,34.012305 : -6.842965, 49869,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000
TRABA (STE), entreprise de construction et de travaux publics, 80 Rue De La Liberte,Tanger-Assilah,35.78278 : -5.81305, 3737,Tribunal de Tanger,,Societe Anonyme, 15 000 000
BUREAU D'INGINCERING ET CONSEIL D'ENVIRONNEMENT ET DE LA MER (BECEM), bureau d'etudes et de recherche de l'environnement et de la mer, Rue 24 N3 1er Etage Bd Oued Ziz Oulfa,Casablanca,33.5564236661 : -7.67990817114, 66811,Tribunal de Casablanca,,Societe Anonyme, 200 000
CEREALES ET LEGUMINEUSES DE MEDIOUNA (CELEM), marchand effectuant import export marchand de grains, 19 Rue Caporal Driss Chbakou Ex Maginot,Casablanca,33.5831 : -7.58718, 93075,Tribunal de Casablanca, 001428704000049,Societe a Responsabilite Limitee, 500 000
BRODERIE ARTISANALE DE FES," broderie artisanale et industrielle importation exportation de mateires, materiels ou fournitures", 32 Bourajoua Makhfia,Fes,34.058218 : -4.982224, 19427,Tribunal de Fes,,Societe a Responsabilite Limitee, 200 000
STARMODE (STARMODE), marchand de vetements confectionnes pret a porter, Rue Abou Abdellah Naafi Centre Benomar Mag N50-14,Casablanca,33.58694440000001 : -7.6111111000000164, 60613,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000
CHAOUIA-TRAFIC, import-export, Bd Idriss Al Akbar,Oujda-Angad,34.672797 : -1.91216, 14619,Tribunal de Oujda,,Societe a Responsabilite Limitee, 120 000
BERLIOZ (BERLIOZ), gestion d'une fraction d'immeuble, 3 Rue Dante,Tanger-Assilah,35.77994 : -5.80553, 109,Tribunal de Tanger,,Societe Anonyme, 5 000
SOCIETE PIED DE REIMS," la commercialisation en gros des travaux divers comme menuiserie , plomberie et forage et commercialisation des fournitures informatiques, transport des marchandises national et international , alimentation generle et habillement et cosmetics, etc.", Ouatia Tantan Plage,Tan-Tan,28.488707 : -11.331137, 523,Tribunal de Tantan,,Societe a Responsabilite Limitee, 100 000
SOUISSI (ELEVAGE AVICOLE DU), elevage avicole, Route De La Maison Rouge Souissi,Rabat,34.015049 : -6.832719999999995, 19549,Tribunal de Rabat,,Societe a Responsabilite Limitee, 163 300
OASIS (LES MAGASINS DE L')," quincaillerie, droguerie, mercerie, chaussures, photographies, bazar, commerce de tous produits et toutes operations s'y rattachant", Bd Wattin Oasis,Casablanca,33.559419 : -7.638123, 24523,Tribunal de Casablanca,,Societe Anonyme, 10 000
ATLAS (CONFECTION)," confection de vetements, vente, achat, importation-exportation de tissus", Carrieres Carlotti Rue Aintinople Face Rue 35 Local 29,Casablanca,33.533333 : -7.583333, 26351,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 30 000
FILTEINT," exploitation de ttes usines ou ateliers de blanchement de teinture,d'appret d'impression et de conditionnement de tous articles textiles, files, pieces, etc...", 185 Rue Mzab,Casablanca,33.59728 : -7.570552, 31335,Tribunal de Casablanca,,Societe Anonyme, 4 312 000
LABO PHOTO SUZA, travaux laboratoire photographique, B8 N 214 Azrou Ait Melloul,Inezgane- Ait Melloul,30.3658333 : -9.538055600000007, 1299,Tribunal de Inzegane,,Societe en Nom Collectif, 140 000
CHERIFIENNE D'ESE ET BATIMENTS (CIE) (CIEBA), entreprise de travaux publics et particuliers, Rue Des Vameaux,Casablanca,33.533333 : -7.583333, 13959,Tribunal de Casablanca,,Societe Anonyme, 1 000 000
AFRIQUE EUROPE TEXTILE (AFRITEX)," import, achat, vente, negoce tous fils, tissus, confection, toutes operations s'y rattachant", 43 Rue De Strasbourg,Casablanca,33.59215 : -7.61113, 25277,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 30 000
MEXCA," commercialisation, promotion", 187 Avenue Lalla Yacout,Casablanca,33.589266 : -7.609854, 35353,Tribunal de Casablanca,,Societe Anonyme, 10 000
GRAND GOURMETS," traiteur, restauration", 943 Hay Nahda Takaddoum,Rabat,33.9836493998 : -6.82270843964, 49425,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000
STE DAR EL KITAB," edition sous toutes ses formes de livres, journaux, imprimerie en general et fourniture de tout materiel d'imprimerie- la promotion immobiliere sous toutes ses formes et plus particulierement les operations de lotissement de terrains ou de constructions de locaux a usage d'habitation, commercial, professionnel ou administratif en vue de la vente ou de la location", Place De La Mosquee,Casablanca,33.533333 : -7.583333, 11473,Tribunal de Casablanca, 000203373000002,Societe a Responsabilite Limitee, 3 213 000
MESBAHIA IMPORT-EXPORT," import-export tous materiaux agricoles, artisanals, industriels et maritimes", 18 Rue Essaadiyine,Larache,35.191658 : -6.147874, 397,Tribunal de Larache,,Societe a Responsabilite Limitee, 20 000
NADOR TRADE, import export, Lotissement Dourila N15 Bp 1060,Tanger-Assilah,35.766667 : -5.8, 9589,Tribunal de Tanger,,Societe a Responsabilite Limitee, 100 000
FAWHEL HOLDING, ese de gestion de valeurs mobilieres, 625 Bd Mohamed V,Casablanca,33.590214 : -7.591511, 58953,Tribunal de Casablanca,,Societe Anonyme, 100 000
MARKETING KREATIV GROUP (MKG)," conception, developpement, conseils, audit et realisation de projet en matiere de marketing, promotion de vente force de vente outils et solution de communication, publicite, media presse et supports multimedia", 68 Avenue Fal Ould Oumeir Appt 08 Agdal,Rabat,34.015049 : -6.832719999999995, 65379,Tribunal de Rabat, 000016897000069,Societe a Responsabilite Limitee, 30 000
SLIMANI LHAJ TRAVAUX MENUISERIE (STE) (SLTM), entrepreneur menuisier, Lotissement Rue M'guitaa N18,Skhirate- Temara,33.929956 : -6.91434, 30029,Tribunal de Rabat,,Societe en Nom Collectif, 80 000
SOCIETE ENTRAID ESSAFA," entrepreneur de divers travaux ou construction, md de materiaux de construction", N34 C8 Imm Al Boustane Bd My Abdellah,Marrakech,31.63824 : -8.00465, 23539,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 10 000
ART-INVEST, conseil juridique + tenant un bureau d'indication pour la vente ou la location des proprietes, Appt 10 Imm 115 Rue Yougoslavie Gueliz,Gueliz (AR),31.630503 : -8.012624, 19749,Tribunal de Marrakech, 001659938000039,Societe a Responsabilite Limitee a Associe Unique, 200 000
INFOMAT (STE)," marchand importateur produits informatiques, bureau d'etudes de commercialisations", 38 Allee D'andromede,Casablanca,33.569414 : -7.624714, 90927,Tribunal de Casablanca, 001599403000034,Societe a Responsabilite Limitee, 100 000
ABBI TOPO, topographe., Azhar 14 Ndeg 20 Imm 53 Ahleghlam,Casablanca,33.58694440000001 : -7.6111111000000164, 70221,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 500 000
CENTRE AFRICAIN DE FOURNITURE ET MATERIELS DE BIJOUTERIE (CAFMAB)," marchand importateur vendant en gros, distribution et commercialisation de tous produits consomable et materiel medico-technique", Rue Glaverol Et Rue Bournazil N 4,Casablanca,33.579114 : -7.622143, 77067,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 600 000
SYSTEMES DE TELECOMMUNICATION (SYSTEL)," placement courtage et gestion de portefeuilles d'assurances de toute nature, commerce de tous produits, materiels et marchandises", 37 Rue Abou Abbes Azfi Maarif,Casablanca,33.57842 : -7.64405, 15923,Tribunal de Casablanca,,Societe Anonyme, 5 650 000
SOCIETE HOLLAND TIQUITE BEN ZAILACH, import export, Imm Gorvasa Rue Des Fes N 22,Tanger-Assilah,35.74676 : -5.80658, 13939,Tribunal de Tanger, 001451757000067,Societe en Nom Collectif, 100 000
CANACCES," analyse financiere et consultation dans le domaine des affaires, entrepreneur de travaux de comptabilite, marchand effectuant import-export", Hay Sadri Groupe 2 Rue 35 N35bis,Casablanca,33.5691451409 : -7.5534799094, 94323,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
LEVY ET CHARBON (ETS)," graines de semences, paille, fourrages et issues", 57 Route De Camps Boulhaut,Casablanca,33.58694440000001 : -7.6111111000000164, 223,Tribunal de Casablanca,,Societe en Nom Collectif, 276 307 488
BASSIRA (STE CIVILE IMMOBILIERE EL), marchand effectuant achat et vente d'immeubles ou autres specialisations immobilieres, Douar Oulad Rahou Oulad Aliane Annexe De Tissa,Taounate,34.285313 : -4.661016, 15229,Tribunal de Fes,,Societe a Responsabilite Limitee, 10 000
MER JAUNE (RESIDENCE LA), loueur de chambres meubles, Rue De La Mer Jaune Ain Diab,Casablanca,33.594262 : -7.676684, 74405,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000
SMATCOP (SMATCOP)," consignation, manutention, transit etc...", 22 Rue Oued Eddahab,Oued-Ed-Dahab,22.7337892 : -14.286111600000027,N/A,N/,,Societe Anonyme, 200 000
CONDITIONNEMENT DES FRUITS ET PRIMEURS DE MARRAKECH (CFPM), fabrication d'huiles par procedes de presse fabrication de conserves alimentaires et entrepreneur de conditionnement et d'emballage, Rue Aboubakr Essediq,Marrakech,31.626741 : -8.017598, 4297,Tribunal de Marrakech,,Societe Anonyme, 3 000 000
REOLE (LA), operation relatives a l'exploitation d'un debt de boissons, 132 Bd De La Gironde Et Angle Rue De La Reole,Casablanca,33.578328 : -7.594907, 26139,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 30 000
JUMAGI FOOD BOKER," la societe a pour objet principalement pour son compte, le compte des tiers ou en participation : l'importation et l'exportation de tous produits alimentaires ou non, articles, accessoires, materiels et reactifs en generale, tant au maroc qu'a l'etranger. plus generalement toutes operations commerciales, industrielles, financieres, mobilieres et immobilieres qui peuvent avoir une relation quelconque avec les buts de la presente societe ou simplement de nature a en favoriser son developpement.", Av Abou Alaa Maari N 7 Res Ibn Khatib Bloc B N 39,Tanger-Medina (AR),35.77814 : -5.80451, 31343,Tribunal de Tanger, 001452583000075,Societe a Responsabilite Limitee a Associe Unique, 10 000
FOUNOU (ETS), vente articles electromenagers et de bureau, N2-4 Rue 62 Hay Oulfa,Casablanca,33.5564236661 : -7.67990817114, 58103,Tribunal de Casablanca,,Societe Anonyme, 20 000
ETUDES DE COORDINATION DE METRES ET D'EXPERTISES (STE D') (SECME), metreur verificateur expert pres des tribunaux," 10, Rue Karatchi, 4deget.",Casablanca,33.595205 : -7.604025, 52129,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
ENTREPRISE DE GROS OEUVRES ET CANALISATION (EGC), entrepreneur de batiment, 644 Bd Mohamed V,Casablanca,33.590214 : -7.591511, 72785,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 300 000
BENSAFER (ETS), entrepreneur de batiments, 334 Bd El Fida Ain Chiffa,Casablanca,33.56926 : -7.60273, 40351,Tribunal de Casablanca,,Societe Anonyme, 20 000
TISSEB (TISSEB)," souscription acquisition cession d'actions administration gestion et toutes operations financieres, achat vente etc", 2 Rue De Rhone,Casablanca,33.59243 : -7.6103, 34823,Tribunal de Casablanca,,Societe Anonyme, 20 000
RODRIGUEZ ET CIE (STE) (ROCI), entrepreneur de bbatiment et d'installations sanitaires, 56 Rue Galilee,Casablanca,33.588457 : -7.627444, 33709,Tribunal de Casablanca,,Societe Anonyme, 500 000
UNIPORT (STE) (UNIPORT)," toutes operations de representation en vue de la vente de toutes marchandises, commission, consignation et courtage", 55 Rue Pierre Parent,Casablanca,33.59419 : -7.60888, 27135,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000
SINGGAB IMMOBILIER, agence immobiliere," Rue Du 4eme Dmm, Ndeg 9 Camp El Ghoul Appt Ndeg 22 Gueliz",Gueliz (AR),31.6333333 : -8, 11193,Tribunal de Marrakech, 001548612000005,Societe a Responsabilite Limitee, 100 000
FIDCONET," entrp de travaux de comptabilite + entr de travaux divers, transport de marchandises.", Avenue Mohamed V Lot 354 Appt N 5,Kenitra,34.279352 : -6.544314, 29715,Tribunal de Kenitra, 000049224000046,Societe a Responsabilite Limitee, 100 000
STILE FRANCESCO, l'industrie pret a porter plus generalement toutes activites industrielles et commerciales se rapportant a l'industrie de pret a porter..., 171 Bd Hadj Ammar Riffi,Casablanca,33.58478 : -7.61182, 41475,Tribunal de Casablanca,,Societe Anonyme, 50 000
MAROCAINES (LES CHANTIERS D'ETUDES ET D'ESES)," toutes operations mobilieres ou immobilieres, commerciales, industrielles et commerciales pouvant favoriser l'objet social...", 36 Rue D'azilal Imm Shell 5e Etage,Casablanca,33.59402 : -7.60578, 25617,Tribunal de Casablanca,,Societe Anonyme, 50 000
PRESSING AL KIMA, pressing, 529 Avenue Commandant Driss El Harti Cite Djemaa,Casablanca,33.54902 : -7.57179, 148387,Tribunal de Casablanca, 000039296000091,Societe a Responsabilite Limitee a Associe Unique, 100 000
OUTIBAT, marchand de materiaux de construction, 165 Rue Dakhla 1er age,Berrechid (M),33.261201 : -7.590645, 3921,Tribunal de Berrechid, 000035285000039,Societe a Responsabilite Limitee a Associe Unique, 100 000
MONDIAL PLASTIQUE, fabricant d'articles en plastique," Rs 110 Km 11,500 Quartier Industriel Ain Sebaa",Casablanca,33.601564 : -7.545368, 50657,Tribunal de Casablanca,,Societe Anonyme, 100 000
MAYORK SA POUR L'INDUSTRIE ET LE COMMERCE (MAYORK)," promotion et realisation de tous projets industriels, achat, vente, et commerce en generale de tous produits ou equipements, toutes operations", 30 Avenues Des Far,Casablanca,33.56853 : -7.56009, 40241,Tribunal de Casablanca,,Societe Anonyme, 100 000
BATMI OCCASION PIECES AUTOMOBILES (BOPA), marchand effectuant import exort pieces detachees automobiles, 40 Rue Des Alpes,Casablanca,33.58267 : -7.6351, 53201,Tribunal de Casablanca,,Societe Anonyme, 10 000
CDEMI (CDEMI), promoteur a la construction d'immeuble, Rue 2 Guynemer N50 Lot 50,Casablanca,33.55672 : -7.667043, 76897,Tribunal de Casablanca,,Societe Anonyme, 100 000
YASMINA TOURISME D'AGREMENT ET DE RECREATION (YTARE2), maitre d'hotel, Angle Rue Beranger Et Rue La Vigne,Casablanca,33.601632 : -7.63732, 76953,Tribunal de Casablanca,,Societe Anonyme, 1 000 000
RAPIDE (STE COMMUNICATIONS), entrepreneur de construction, Immeuble Dar Al Bir Oua Al Ihsane B Magasin N2,Marrakech,31.614215 : -7.969822, 7795,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 200 000
UNIPACK (STE) (UNIPACK)," tirage, conditionnement, expedition d'agrumes et plus generalement de tous fruits et produits agricoles, acquisition, exploitation...", 89 Bd My Ismail,Casablanca,33.59822 : -7.58306, 31605,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000
TEXTIMAROC (STE) (TEXTIMAROC), fabrication commerce de tous produits de l'industrie textile, 47 Avenue Pocymiran,Casablanca,33.58694440000001 : -7.6111111000000164, 16897,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 1 500
SOCIETE MAROCAINE DE DISTRIBUTION DE PETROLE, distibution de carburant, Rue Ibenou Ouanane,Casablanca,33.571167 : -7.612913, 27,Tribunal de Imintanoute,,Societe Anonyme, 50 000 000
KISSARIAT IMPORT-EXPORT, marchand effectuant import-export, 43 Passage Ibn Bassame Lot Ezzohra Lot 221,Settat,33.001374 : -7.617374, 1123,Tribunal de Berrechid,,Societe a Responsabilite Limitee, 90 000
KENITRA (COOPERATIVE ARTISANALE DES MACONS DE), constructions, Rue 159 N67 Afca,Kenitra,34.252813 : -6.550845, 19177,Tribunal de Rabat,,Societe Anonyme, 10 000
ORIENTALES TECHNIQUES," batiment tous corps d'etat, electricite, climatisation et plomberie sanitaires.", Angle Des Rues El Boukhar Et Ziani Imm Badaoui Appartement Ndeg3,Oujda (M),34.68325 : -1.919645, 18457,Tribunal de Oujda, 000099900000076,Societe a Responsabilite Limitee, 120 000
STE D'ARMEMENT ET DE PECHE OUFOUK," industrie de la peche maritime sous toutes ses formes, acquisition armement, affretement, exploitation, location, gerance et vente de navire...", 26 Bd De La Resistance.,Casablanca,33.58911 : -7.603885, 40553,Tribunal de Casablanca, 001514210000084,Societe a Responsabilite Limitee, 930 000
LARNESS TECHNOLOGIE, concessionnaire services telephoniques (cyber club) - md de materiel informatique, 14 Rue 26 Jamila 7 Cd,Casablanca,33.5522731679 : -7.57461560503, 140511,Tribunal de Casablanca, 001430971000047,Societe a Responsabilite Limitee, 100 000
ER-RJALI (STE), fabricant de vetements confectionnes, 187 Boulevard Lalla Yacout,Casablanca,33.589266 : -7.609854, 43017,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000
RIDA (BLANCHISSERIE)," la teinture, blanchisserie et tous sorte de nettoyage", 8-9 Centre Commercial De Bir Anzarane,El-Jadida,33.2333333 : -8.5, 1065,Tribunal de Eljadida,,Societe a Responsabilite Limitee, 100 000
MAROC EMBARBA, fabrcant d'ascenseurs, 9 Rue Yacoub El Manssour,Tanger-Assilah,35.768178 : -5.792379, 9807,Tribunal de Tanger,,Societe a Responsabilite Limitee, 100 000
LYONNAISE D. AMAR ET CIE (MERCERIE)," entreprise mercerie au detail, importation mercerie et bonneterie", 265 Avenue Mohamed V,Rabat,34.017563 : -6.835506, 18457,Tribunal de Rabat,,Societe en Nom Collectif, 12 000
KINGS CLUB, cafe et restaurant, 2 Rue Mlilia,Meknes,33.89585 : -5.543225, 19403,Tribunal de Meknes,,Societe Anonyme, 200 000
MARRAKECH FRUIT DEVELOPPEMENT (MFD), production agricole, Douar Belfalah Commune Rurale Agafay Cercle Oudaya,Marrakech,31.634483 : -8.250418, 14495,Tribunal de Marrakech, 001794701000005,Societe a Responsabilite Limitee, 540 000
NORD AFRICAINE DE PUBLICITE MEDICALE ET PHARMACEUTIQUE (STE) (PUBLIMEDIC), representation de poduits pharmaceutiques et veterinaires, 57 Rue Dumont D'urville,Casablanca,33.5923 : -7.60448, 8663,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000
GENIE CIVIL ET CONDUITE D'EAU (ESE DE), ese de travaux divers, Rue 2 N7 Antaria Ii C/o Cosmeca,Casablanca,33.5854360705 : -7.54480814159, 59247,Tribunal de Casablanca,,Societe Anonyme, 100 000
PNEUMATIQUE T.A.S, marchand de pneumatiques, 118 Rue Bourgadam,Casablanca,33.59088 : -7.571929, 59031,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 1 000 000
ESPACE GRAPHIC, dessinateur," Angle 332 Bd Brahim Roudani 3, Rue Abou Ishak El Marouni-ex Mt Dore Residence Ar-rayhane 5e Etage",Casablanca,33.58778 : -7.62754, 56191,Tribunal de Casablanca, 001749755000077,Societe a Responsabilite Limitee, 200 000
DEVELOPPEMENT ET REPRESENTATION INDUSTRIEL ET COMMERCIAL MEDITERANIEN (DEERICM), representation et negoce, 149 Boulevard Lalla Yacout,Casablanca,33.589266 : -7.609854, 152165,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
JAIDI TAZI BUZNESS (JTB)," fabrication, achat, vent e d'objets publicitaires", 69 Rue Massena,Casablanca,33.586211 : -7.631882, 49907,Tribunal de Casablanca,,Societe Anonyme, 100 000
SUD (STE ALIMENTS COMPOSES DU) (ALCOSUD), fabrication des aliments composes, 13 Rue Ibn Aicha,Marrakech,31.637527 : -8.011044, 5325,Tribunal de Marrakech,,Societe Anonyme, 100 000
FINANCIERES ET JURIDIQUES (EDITIONS) (EDIFIJ), marchand importateur exportateur livres journaux revues magasin brochures et toutes documentations, 42 Bd De La Resistance,Casablanca,33.58911 : -7.603885, 53561,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 20 000
CABINET COMPTABLE FATOUAKI, sous-traitance tous travaux de comptabilite et declarations fiscales, Rue 1 Fath 3 Ndeg 136,Casablanca,33.5324301296 : -7.59119057496, 113293,Tribunal de Casablanca, 001429765000017,Societe a Responsabilite Limitee, 100 000
TAPITEX, marchand effectuant import et export et marchand de tapis, Rue De Fes N 105 2eme Etage Apt. 3,Oujda-Angad,34.681919 : -1.91087, 16963,Tribunal de Oujda, 001454491000066,Societe a Responsabilite Limitee a Associe Unique, 100 000
DOHA ESSAADA (STE IMMOBILIERE DE PROMOTION ET DE CONSTRUCTION), promoteur a la construction d'immeubles, 14 Rue Ouezzane Tour Hassan,Rabat,34.02117 : -6.82166, 27153,Tribunal de Rabat,,Societe Anonyme, 50 000
SOBATEC (SOBATEC), entrepreneur de construction, N1 Rue Houman El Fetouaki,Agadir-Ida Ou Tanane,30.41779 : -9.58943, 1273,Tribunal de Agadir,,Societe Anonyme, 20 000
CM CONSULTANTS," l'import-export de tout materiel, machine, equipement, piece, accessoire et produit pour la construction et/ou la decoration. la commercialisation, distribution, vente et livraison de tout materiel, machine, equipement, piece, accessoire et produit pour la construction et/ou la decoration. la prestation de service. et plus generalement : toutes operations financieres, ou commerciales, pouvant se rattacher directement ou indirectement a ses objets, ainsi qu'a tous autres objets similaires ou connexes ou qui seraient utiles a son developpement."," Lot 14 Lot Ndeg1, Zone Franche",Tanger-Medina (AR),35.718396 : -5.914545, 27063,Tribunal de Tanger, 000214249000066,Societe a Responsabilite Limitee a Associe Unique, 100 000
GROUPE ENTREPRISE D'ELECTRICITE SARDI, entrepreneur d'installation electrique, 1 Rue Al Inbiat Quartier Industrielle,Agadir (M),31.12001849999999 : -6.067919399999937, 3257,Tribunal de Agadir,,Societe Anonyme, 4 000 000
MASAHA EQUIPEMENT, marchand effectuant import-export, N37 Rue Nouakchoute,Casablanca,33.58596 : -7.613301, 63313,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 20 000
LES ALMORAVIDES BATIMENTS (ENAL), entrepreneur de divers travaux et construction, Garage Lot Afaq 1 Ndeg528 Saada,Marrakech,31.641083 : -8.105257, 7515,Tribunal de Marrakech, 001633984000069,Societe a Responsabilite Limitee, 200 000
CREACOM (CREACOM), tenant un bureau d'etudes, 36 Rue El Khouzame Beausejour,Casablanca,33.56943 : -7.64968, 74283,Tribunal de Casablanca, 001430076000059,Societe Anonyme, 50 000
ALMOUSTAKBAL (EDITIONS), imprimer typographe, Rue De La Garonne N46,Casablanca,33.581675 : -7.594165, 42821,Tribunal de Casablanca,,Societe Anonyme, 10 000
SUNNY-MARK, import-export des produits electriques, Boulevard Mohamed V N46,Sidi-Kacem,34.220521 : -5.701934, 24549,Tribunal de Sidi Kacem,,Societe a Responsabilite Limitee, 500 000
MAGADOR EXPORT, marchand de maroquinerie en gros, 28 Rue Sequala,Essaouira,31.50976 : -9.767865, 67,Tribunal de Essaouira,,Societe a Responsabilite Limitee, 100 000
ABOU SSAFI METAL (STE), import-export, 74 Rue Nador Quartier Industriel Dokarat,Fes,34.011258 : -4.968904, 17429,Tribunal de Fes, 001604272000006,Societe Anonyme, 100 000
COSTA JUNA, la gestion et l'exploitation de restaurants et un milk-bar, Km 19 Route De Tetouan Centre,Tetouan,35.572464 : -5.375723, 1211,Tribunal de Tetouan,,Societe Anonyme, 24 000
ALLIANCE-BETON, transport de beton," Km 13, Route El Jadida",Dar Bouazza,33.529166 : -7.799997, 141979,Tribunal de Casablanca, 001535662000067,Societe a Responsabilite Limitee, 2 000 000
MAROCAINE DES ANCIENS ETS AGATI AVEC (STE) (SOMAGATI), entreprise de menuiserie, 411 Avenue Ambassadeur Ben Aicha,Casablanca,33.60287 : -7.58211, 32973,Tribunal de Casablanca,,Societe Anonyme, 40 000
CEMENTAS MAROC," representant de commerce, marchand effectuant", 22 Rue De Suippes Mers Sultan,Casablanca,33.584605 : -7.614295, 60061,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000
KANNOURI (STE ESE), entrepreneur de travaux de construction, Rue Tansift Agdal N63 Appt 4,Rabat,33.999787 : -6.846778, 41509,Tribunal de Rabat,,Societe Anonyme, 10 000
ORIENTAL (GLACES INDUSTRIELLES DE L') (GIOR), expl usine fabrication artificielle de la glace industrielle chaine de production de frois prod de glaces conservation legumes agumes emballage diver, Hay El Hassani Ecole El Baat Pour Femme N 18,Oujda-Angad,34.686527 : -1.909366, 12916,Tribunal de Oujda,,Societe a Responsabilite Limitee, 100 000
LABORATOIRE CENTRAL DE METROLOGIE, exploitant atelier pour reparation de l'appareillage electrique et fabricant cables metalliques, El Bernoussi Ii Rue 1 N 32 Et 34 Sidi Bernoussi Casa,Casablanca,33.610869 : -7.504093, 118983,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
ARMEMENT BENABDALLAH & FILS," armement de batiment de peche, peche hauturiere", Port De Tan Tan,Tan-Tan,28.439073 : -11.103111, 225,Tribunal de Tantan,,Societe a Responsabilite Limitee, 500 000
BANQUE POPULAIRE DE BENI MELLAL, operation de banque et de credit, 287 Bd Mohamed V,Beni Mellal,32.33345 : -6.36039, 253,Tribunal de Beni Mellal,,Societe Anonyme, 1 800 000
LUSO MAROCAINE DE COUSIGNATION ET DE PECHE (STE) (SOLMACOP), armateur pour peches, 1 Place Mirabeau,Casablanca,33.59616 : -7.603495, 42901,Tribunal de Casablanca,,Societe Anonyme, 100 000
CMH TRANS, transport de marchandises, Bir Rami Est Rue 25 N 818,Kenitra,34.257394 : -6.590154, 30955,Tribunal de Kenitra, 000017349000087,Societe a Responsabilite Limitee, 100 000
TAOURIRT (STE COMMERCIALE DE) (SCOMETA), importation-exportation, 5 Route Debdou,Oujda-Angad,34.686527 : -1.909366, 14185,Tribunal de Oujda,,Societe a Responsabilite Limitee, 10 000
MOUTAWAKILINE (EL)," fabrication des promogenes et produits chimiques, du maroc oriental", 8 Rue Moha Ou Hammou,Oujda-Angad,34.672092 : -1.920159, 11473,Tribunal de Oujda,,Societe a Responsabilite Limitee, 505 000
RAPIDES (STE DE CONSTRUCTIONS) (SOCORA), exploitation brevet cantaloup procede de constructions rapides en elements de ciment prefabriques travaux de constructions travaux publics, 1 Rue Le Verrier,Rabat,34.015049 : -6.83272, 10740,Tribunal de Rabat,,Societe a Responsabilite Limitee, 4 500 000
DISTRIFOCOD (STE) (DISTRIFOCOD), negociant, 23 Rue Assafi Ap 9,Rabat,34.015407 : -6.830352, 43807,Tribunal de Rabat,,Societe Anonyme, 100 000
CHERIFIENNE (STE IMMOBILIERE ET FINANCIERE) (SIFICHE), acquisition vente en bloc creation operation commerciales industrielles et financieres construction d'immeubles transaction immobilieres rurales, 9 Rue Berthelot,Casablanca,33.59435 : -7.61553, 8609,Tribunal de Casablanca,,Societe Anonyme, 150 000
MANUPORT (MANUPORT)," transport marchandises, transport ville", N8 Rue De Vesles,Casablanca,33.533333 : -7.583333, 29517,Tribunal de Casablanca,,Societe Anonyme, 10 000
