Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,URL,Capital
ORKILA MAROC, distribution de produits chimiques, Km 9 Ancienne Rte De Rabat Ain Sebaa,Ain-Sebaa (AR),33.605175 : -7.55149,13935,Tribunal de Casablanca,1527251000087.0,,societe-orkila-maroc-73112, 7 938 174 
BLANCA ADVERTISING, agence de publicite et de communication," 239, Bd Yaakoub El Mansour, 3eme Etage",Casablanca,33.570894 : -7.649904,189105,Tribunal de Casablanca,229747000078.0,,societe-blanca-advertising-229162, 1 500 000 
AFRIC DINDE, elevage de poulets et dindes, 134 Rue Farouki Rahali Sidi Maarouf 4,Casablanca,33.562761 : -7.60082,124117,Tribunal de Casablanca,1548796000081.0,,societe-afric-dinde-133995, 13 000 000 
PARFUM CONDITIONNEMENT DESIGN (PC. DESIGN), fabrication de parfums et de produits pour la toilette," Zone Franche D'exportation De Tanger Gzenaya 1 Lot 15, Ilot 1",Tanger-Assilah,35.740831554 : -5.779227072,18975,Tribunal de Tanger,66016000040.0,,societe-parfum-conditionnement-design-126665, 2 000 000 
STE MAGHREBINE DES POLYMERES (SMP)," fabrication et commercialisation de produits chimiques : production de polymeres pour peinture, bois et textile, resines polyesters, colles thermo fusibles et adhesifs."," Km 11,5 Autoroute De Casa / Rabat Bp 2589 Ain Sebaa",Ain-Sebaa (AR),33.600214 : -7.50934,87323,Tribunal de Casablanca,1531536000016.0,,societe-ste-maghrebine-des-polymeres-83959, 30 000 000 
"FRESENIUS MEDICAL CARE NORD, OUEST ET CENTRE AFRIQUE", importation et vente de materiels de dialyse," 33, Bd Moulay Youssef",Casablanca,33.59529 : -7.63021,35103,Tribunal de Casablanca,1537057000038.0,,societe-fresenius-medical-care-nord-ouest-et-centre-afrique-61873, 35 900 000 
UNIVERS MOTORS DISTRIBUTION, importation et distribution de voitures, Ndeg 60 Avenue Pasteur Belvedere,Casablanca,33.59746 : -7.594155,93015,Tribunal de Casablanca,1537195000095.0,,societe-univers-motors-distribution-93081, 300 000 
DATACO," importation, distribution et maintenance de materiel informatique", 119 Bd Emile Zola,Casablanca,33.5924 : -7.59922,56669,Tribunal de Casablanca,1529948000018.0,,societe-dataco-85013, 13 000 000 
OUSNI TRAVAUX (SOUTRA)," construction et travaux divers : voirie, assainissement et amenagement... - menuiserie bois - location de materiel ou machine d'outils (engins) - promotion immobiliere",,,31.620526 : -8.057657,39509,Tribunal de Marrakech,1574156000084.0,,societe-ousni-travaux-10978, 25 000 000 
FOODS ET GOODS, commerce de produits alimentaires et boissons, Zone Industrielle Ouled Salah Ennour 2 Lot Si 7/19,Nouaceur (M),33.60722 : -7.53758,68167,Tribunal de Casablanca,1524316000083.0,,societe-foods-et-goods-46994, 15 000 000 
KARKACHI & FATH," fabrication et vente de materiaux de construction - fabrication de planchers prefabriques, treillis soudes", 8 Rue Brahim Nakhai,Casablanca,33.58443 : -7.64471,90777,Tribunal de Casablanca,1455391000016.0,,societe-karkachi-fath-91230, 25 000 000 
KEY IMMOBILIER, promoteur immobilier a la construction, N 932 Al Massar Rte De Safi Km 5,Marrakech,31.66922 : -8.039231,13479,Tribunal de Marrakech,,,societe-key-immobilier-116969, 700 000 
MICROSOFT MAROC (MICROSOFT MAROC), edition de logiciels et ingenierie informatique,,,33.587398 : -7.641117,71533,Tribunal de Casablanca,1525040000032.0,,societe-microsoft-maroc-40819, 2 706 750 
LES COUVOIRS DU NORD (COUVNORD), aviculteur,,,34.00714 : -5.052033,15257,Tribunal de Fes,1565324000025.0,,societe-les-couvoirs-du-nord-28963, 237 900 000 
COMPAGNIE DE TRAVAUX HYDRAULIQUES DU MAGHREB (CTHM )," travaux hydrauliques, travaux d'alimentation en eaux potables et assainissement", Zone Industrielle Ain Atiq,Ain Attig,35.77871 : -5.81219,133173,Tribunal de Temara,226174000034.0,,societe-compagnie-de-travaux-hydrauliques-du-maghreb-125437, 2 042 500 
PROTECTION ELECTRIQUE ET ELECTRONIQUE (PROTELEC)," commerce, installation et entretien de materiel electrique et electronique"," 135, Rue Zerhoune, Angle Rue D'agadir,",Casablanca,33.58468 : -7.61977,34507,Tribunal de Casablanca,1536306000042.0,,societe-protection-electrique-et-electronique-61650, 30 000 000 
FERTI-LOUKKOS, distribution d'engrais, 17 Rue Moussa Ibn Noussair Bureau N1 Maamora,Kenitra,34.255169 : -6.580557,30589,Tribunal de Kenitra,49239000029.0,,societe-ferti-loukkos-180004, 200 000 
LUXUS PAPER, importation et distribution de papiers et carton,,,33.58694440000001 : -7.6111111000000164,100025,Tribunal de Casablanca,1524972000025.0,,societe-luxus-paper-104349, 36 000 000 
ASSKHOR, construction de batiments - travaux divers.," Lot 13, Zone Industrielle Massira I Attasnia",Temara (M),33.929956 : -6.91434,28915,Tribunal de Rabat,1527789000014.0,,societe-asskhor-11655, 18 000 000 
TIMAR," transport international, transit et logistique transport de marchandises"," Immeuble Ndeg1 Rue 1, Quartier Oukacha Ain Sebaa",Ain-Sebaa (AR),33.601384 : -7.623433,40957,Tribunal de Casablanca,83928000058.0,,societe-timar-57525, 30 110 000 
MOULINS SANABIL, minoterie industrielle, 1 Rue Ahmed Amine Bp 206 Ville Nouvelle,Meknes (M),33.89416 : -5.53755,23833,Tribunal de Meknes,1535739000025.0,,societe-moulins-sanabil-155649, 71 569 800 
MONZA MOTORS, commerce de vehicules automobiles," 251, Boulevard Brahim Roudani",Casablanca,33.57452 : -7.63996,159947,Tribunal de Casablanca,1346860000080.0,,societe-monza-motors-187523, 8 400 000 
ENTREPRISE DE CONSTRUCTION EL OILAF, entrepreneur de batiments, Parcelle Ndeg 12b Rue Asafi Z.i Tassila,Dcheira El Jihadia (M),30.369555 : -9.528348,8455,Tribunal de Inzegane,1539797000069.0,,societe-entreprise-de-construction-el-oilaf-31933, 7 000 000 
MOULINS MRANIA (SMOMRA), minoterie industrielle, Avenue Abbas Mekri Quartier Dokkarat,Fes-Medina (AR),34.026063 : -5.006911,24043,Tribunal de Fes,65400000085.0,,societe-ste-moulins-mrania-146021, 29 200 000 
BORJ NADIM," construction, promoteurs immobiliers"," Lieu Dit Ras Sekkaya, Club House Au Projet Asilah Marina Golf Ndeg 8a",Assilah (M),35.464498 : -6.0379,137,Tribunal de Asilah,1710096000087.0,,societe-borj-nadim-190862, 2 000 000 
MASAE MEDIA, edition des journaux - presse - magazines," 10, Avenue Des Far 2eme Etage Ndeg 202",Casablanca,33.56631 : -7.56361,154337,Tribunal de Casablanca,1527469000021.0,,societe-masae-media-175708, 2 000 000 
SOCIETE INDUSTRIELLE MAROCAINE D'APPAREILLAGE ELECTRIQUE (SIMAPEL ), montage et fabrication de tous appareils electriques," 10 Bd Abdelmoumen Rue Chatila, Palmier",Casablanca,33.58694440000001 : -7.6111111000000164,36485,Tribunal de Casablanca,,,societe-societe-industrielle-marocaine-d-appareillage-electrique-60672, 13 000 000 
STE DE DISTRIBUTION DES VIANDES DU SAHEL (SODIVIAS)," l'elevage et l'engraissement d'animaux destines a l'abattage - decoupage et distribution de viande ""bovine et ovine""",,,30.369555 : -9.528348,279,Tribunal de Inzegane,1533227000046.0,,societe-ste-de-distribution-des-viandes-du-sahel-39095, 24 000 000 
PRINCE AUTO, achat vente reparation entretien de vehicules auto md voitures automobiles md accessoirs ou pieces detachees pour moteurs auto mecanicien reparateur, 56 Av. Hassan Ii V.n,Fes-Medina (AR),34.043671 : -4.998081,20219,Tribunal de Fes,87160000094.0,,societe-prince-auto-100319, 16 000 000 
3 M MAROC (3 M MAROC)," fabrication de produits chimiques, produits adhesifs, films : matiere retroflechissante pour la signalisation routiere - rubans de specialite pour les communications graphiques - commerce de materiel et fourniture medical et chirurgical"," Casa Centre Ville Business Centre, Centre D'affaires Contempo, 71 Rue Azilal, Angle Boulevard Mohamed V, 3eme Etage, 20110",Casablanca,33.58694440000001 : -7.6111111000000164,78517,Tribunal de Casablanca,1537470000042.0,,societe-3-m-maroc-68959, 18 000 000 
NARJISS, fabrication de papier domestique - mouchoir hygienique,,,33.567848 : -7.70821,37443,Tribunal de Casablanca,2038690000057.0,,societe-narjiss-58577, 20 000 000 
MOULIN FALAH," exploitant de moulin. promotion immobiliere; - lotissement des terrains, la construction, la demolition et la reconstruction que tous immeubles;",,,34.259503 : -5.901564,15663,Tribunal de Sidi Slimane,17191000085.0,,societe-moulin-falah-24775, 14 000 000 
COMPTOIR PHARMACEUTIQUE ET PARAPHARMACEUTIQUE DU NORD (PHARMANORD), commerce de produits pharmaceutiques, 43 Bis Rue Ahmed Chaouki,Tanger-Medina (AR),35.780524 : -5.811708,6869,Tribunal de Tanger,1536657000071.0,,societe-comptoir-pharmaceutique-et-parapharmaceutique-du-nord-39790, 11 600 000 
RUBAN DU MAGHREB (RDM), fabrication de vetements confectionnes - fabrication de rubans elastiques - tricotage, Lot 19 Lotissement Laayoune Ain Borja Hay Mohammedi,Casablanca,33.586466 : -7.560805,47891,Tribunal de Casablanca,102740000026.0,,societe-ruban-du-maghreb-51487, 15 000 000 
STE ALISAM, vente de materiaux de construction, Narjiss Bloc D Rue Massira Lot 295 Rdg,Fes,34.013122 : -4.977243,19709,Tribunal de Fes,,,societe-ste-alisam-94358, 6 300 000 
LABORATOIRE STERIPHARMA (LABO STERIPHARMA), fabrication et vente de produits pharmaceutiques, 347 Lot Lina Zone Industriel Sidi Maarouf,Casablanca,33.520414 : -7.646963,45357,Tribunal de Casablanca,1536003000075.0,,societe-laboratoire-steripharma-57790, 11 111 200 
NATIONAL GAZ, distribution de gaz," 139, Bd Moulay Ismail (roches Noires)",Assoukhour Assawda (AR),33.598095 : -7.583852,419069,Tribunal de Casablanca,1537475000004.0,,societe-national-gaz-27529, 5 000 000 
AL MADA, holding d'investissement, 60 Angle Rue D'alger Et Duhaume,Casablanca,33.59211 : -7.62461,88583,Tribunal de Casablanca,1534170000096.0,,societe-al-mada-83220, 1 566 423 300 
NORSUDEX," confection articles d'hygiene importation de produits cosmetiques destines a la fabrication de produits cosmetiques, d'hygiene corporelle et de biocides ; - fabrication, distribution de dispositifs medicaux.", 17 Bd Mohammed Abdou Escalier D Appart Ndeg2 Palmier,Casablanca,33.58694440000001 : -7.6111111000000164,410953,Tribunal de Casablanca,1526261000045.0,,societe-norsudex-28547, 51 000 000 
UNIVERS MOTORS EUROPE," import export, negoce automobiles"," 37 Rue Ait Ba Amrane, 5eme Etage Appt Ndeg107",Casablanca,33.58694440000001 : -7.6111111000000164,158269,Tribunal de Casablanca,229567000088.0,,societe-univers-motors-europe-183817, 29 306 800 
BMCE CAPITAL," acquisition des participations industrielles, commerciales, financieres, immobilieres et autres - banque d'affaires et d'investissement", Rond Point Hassan Ii Tour Bmce,Casablanca,33.586466 : -7.560805,92517,Tribunal de Casablanca,214552000033.0,,societe-bmce-capital-93827, 100 000 000 
ASK ASSURANCE, assurance-vie et capitalisation, Angle Rue Ferret Et 40 Boulevard Moulay Youssef,Casablanca,33.59244 : -7.62779,33519,Tribunal de Casablanca,1539285000022.0,,societe-ask-gras-savoye-62385, 23 000 000 
CELLULAR DISTRIBUTION (CELLDIS), commerce de fourniture et materiel telephonique - telecommunication, 55 Angle Boulevard Zerktouni & Rue Sebta 7eme Etage,Casablanca,33.58285 : -7.61705,125783,Tribunal de Casablanca,,,societe-cellular-distribution-137171, 4 100 000 
DYNAMIC AUTO, reparation et commercialisation de vehicules automobiles, 16.bd De La Tour Hassan,Rabat,34.015049 : -6.832719999999995,47223,Tribunal de Rabat,229106000022.0,,societe-dynamic-auto-80315, 100 000 
ORIFLAME MAROC, commerce de gros de produits cosmetiques - vente d'accessoires de beaute, 3 Rue Abdelkader El Mazini Gautier,Casablanca,33.591545 : -7.62793,88945,Tribunal de Casablanca,1544324000060.0,,societe-oriflame-maroc-89231, 1 903 600 
SOCIETE BRIOR (BRIOR), commerce de produits alimentaires - commerce et fabrication de produits d'hygiene - commerce d'articles menagers - negoce," 33, Rue De Libourne",Casablanca,33.58592 : -7.60439,30073,Tribunal de Casablanca,1526579000092.0,,societe-societe-brior-59698, 40 800 000 
COOPERATION PHARMACEUTIQUE D'AGADIR (COPHAG), commerce de gros de produits pharmaceutiques," 784 Angle Avenue Abdelkrim Khattabi Et Rue Ndeg17, Quartier Industriel",Ait Melloul (M),30.34054 : -9.483333,2015,Tribunal de Agadir,1542012000016.0,,societe-cooperation-pharmaceutique-d-agadir-33243, 10 000 000 
GLOBAL EXPRESS COURRIER (GLOBEX)," courrier express international. transport international, transit et logistique.", 313 Bd Mohamed V,Casablanca,33.593485 : -7.603666,93541,Tribunal de Casablanca,1526968000065.0,,societe-global-express-courrier-94684, 15 000 000 
MANUFECTURES DE PAPIERS ET FOURNITURES (MAPAF), importation de fournitures scolaires et bureautiques, Km 9 Route De Jadida Quartier Industriel Lissasfa,Casablanca,33.52874 : -7.67861,73653,Tribunal de Casablanca,1539311000096.0,,societe-manufectures-de-papiers-et-fournitures-44255, 100 000 000 
SOCIETE FINANCIERE DU SOUSS (SOFINAS), armateurs a la peche cotiere avec chalutiers - peche hauturiere, Port De Peche B.p. 1794.,Agadir (M),30.427755 : -9.598107,3743,Tribunal de Agadir,205923000022.0,,societe-societe-financiere-du-souss-30347, 31 000 000 
FORUM INTERNATIONAL COMPUTER MAROC, realisation de logiciels, 120 Bd Mohamed V,Berrechid (M),33.271486 : -7.586074,61,Tribunal de Berrechid,1526559000050.0,,societe-forum-international-computer-maroc-28569, 20 000 000 
LES LABORATOIRES AZBANE, fabrication et vente de tous produits cosmetiques et de parfumerie," Km 8, Route D'el Jadida",Casablanca,33.532301 : -7.6734,35189,Tribunal de Casablanca,1529585000022.0,,societe-les-laboratoires-azbane-60479, 35 000 000 
6 PO INDUSTRIE, fabrication de tubes et tuyaux en matiere plastique (pvc et pe)," Propriete Dite Mina 8, Douar Elkcharda, Oued Ikem Zi Ain Atiq",Temara (M),33.929956 : -6.91434,45761,Tribunal de Rabat,1524300000030.0,,societe-6-po-industrie-80909, 50 000 000 
OMNIDATA, realisation et vente de logiciels informatiques - integration de solutions informatiques, 74 Boulevard Abdelmoumen 20100,Casablanca,33.57838 : -7.6255,56913,Tribunal de Casablanca,1524561000064.0,,societe-omnidata-49495, 13 672 800 
COMPANIA INDUSTRIAL DEL LUKUS (CIL), transformation conservation et conditionnement de legumes, Zone Portuaire Bp 13,Larache,35.191658 : -6.147874,131,Tribunal de Larache,1763869000015.0,,societe-compania-industrial-del-lukus-3601, 36 500 000 
PHARMA SMIR, commerce de gros de produits pharmaceutiques," Avenue Slaoui, Lotissement Rbahi Rue Sebou , Ain Khbbaz",Tetouan (M),35.567089 : -5.380586,3055,Tribunal de Tetouan,168179000028.0,,societe-pharma-smir-97232, 6 110 000 
LE PLASTIQUE," fabrication et conception d'emballages et de produits de manutention en matiere plastique ""caisses, futs, palettes, articles de menage""", Angles Rue Des Glaieuls Et Des Orchidees Ain Sebaa,Ain-Sebaa (AR),33.583292 : -7.616615,26089,Tribunal de Casablanca,82568000015.0,,societe-le-plastique-66589, 28 000 000 
ALLIANCE AUDIT," entrepreneur de travaux de comptabilite, conseil juridique (et fiscal en organisation, formation)", 48 Bd Yougoslavie Gueliz,Gueliz (AR),31.630503 : -8.012624,23011,Tribunal de Marrakech,71023000069.0,,societe-alliance-audit-174979, 150 000 
ORIMEX (ORIMEX), import export - verre de batiment - verrerie d'art - miroiterie d'art, 11 Av Abdelkhalek Torres Laary Cheikh,Nador (M),35.17384 : -2.92575,2097,Tribunal de Nador,68283000038.0,,societe-orimex-28578, 50 000 000 
AL AJIAL ASSETS, promoteur immobilier (activite touristique et hoteliere), Avenue Des Far Ndeg 46 Sidi Belyout,Sidi Belyout (AR),33.56853 : -7.56009,159207,Tribunal de Casablanca,1575826000002.0,,societe-al-ajial-assets-222018, 494 841 000 
GHANDOUR DE TRAVAUX PUBLICS (GTP), travaux publics - travaux d'assainissement, Ait Sibrene Km 15 Route De Meknes,Ait Siberne,33.885138 : -5.923868,23853,Tribunal de Khemisset,1526277000001.0,,societe-societe-ghandour-de-travaux-publics-20592, 10 000 000 
TANGEROIS, commerce d'articles electromenagers,,,33.584467 : -7.635947,48967,Tribunal de Casablanca,84122000058.0,,societe-tangerois-50420, 15 000 000 
GALVACIER," galvanisation des metaux - traitement de surface, protection anticorrosion"," Lot 1, 2eme Tranche Zone Industrielle Bir Rami",Kenitra,34.257394 : -6.590154,30313,Tribunal de Kenitra,1525636000042.0,,societe-galvacier-85196, 31 000 000 
IMPERIAL PNEU," importation, distribution et reparation de pneumatiques", Ain Sbaa Km 9.200 Route De Rabat,Ain-Sebaa (AR),33.609434 : -7.519515,91557,Tribunal de Casablanca,1534759000004.0,,societe-imperial-pneu-87667, 30 000 000 
ELECTRA, commerce d'equipements electromenagers, Bd.ahl Loghlam Ex (chemin Tertiaire 1015) Bp 2569e,Ain-Sebaa (AR),33.601564 : -7.545368,1857,Tribunal de Casablanca,1685502000063.0,,societe-electra-8317, 10 000 000 
AGENCE GENERALE DE TRANSIT ET DE TRANSPORTS (A.G.T.T), transitaire," 37, Bd. Abdellatif Ben Kaddour, Angle Rue Ali Abderrazak 3eme Etage",Casablanca,33.58694440000001 : -7.6111111000000164,18789,Tribunal de Casablanca,1534468000004.0,,societe-agence-generale-de-transit-et-de-transports-72341, 28 800 000 
MULTIPROBAT, commerce des produits de batiments," Zi Polygone 2020 Route Zenata Quartier Industriel Est Lot 126,127, 128 20250 Ain Sebaa",Ain-Sebaa (AR),33.6215 : -7.52964,58761,Tribunal de Casablanca,1514759000005.0,,societe-multiprobat-50897, 11 000 000 
SIGMATEL, infrastructure des systemes d'information, 281 Lot Lina Rue 5 Quartier Sidi Maarouf,Casablanca,33.58694440000001 : -7.6111111000000164,61453,Tribunal de Casablanca,1534154000043.0,,societe-sigmatel-45789, 33 000 000 
MULTI CHEMICAL INDUSTRY, fabrication et vente des medicaments veterinaires, Lot 157 Z. I Sud-ouest (erac),Mohammedia (M),33.670073 : -7.417525,2829,Tribunal de Mohammedia,1428403000028.0,,societe-multi-chemical-industry-45940, 6 000 000 
BENLARBI FER, import-export de ferrailles et metaux., Cite Oukacha Entree Depot Agrip Forafric Ain Sebaa,Casablanca,33.6120435466 : -7.552291232,153395,Tribunal de Casablanca,80020000038.0,,societe-benlarbi-fer-177510, 1 100 000 
UNION PHARMACEUTIQUE DU RIF (UPHAR), production et vente de produits veterinaires et pharmaceutiques, Zone Indutrielle Rp 39 Bp 154,Nador,35.163757 : -2.920911,3345,Tribunal de Nador,99981000023.0,,societe-union-pharmaceutique-du-rif-80910, 3 000 000 
10 RAJEB, fabrication de tous articles de menuiserie industrielle - commerce des articles de menuiserie,,,33.5724883158 : -7.65778173853,63123,Tribunal de Casablanca,1598038000029.0,,societe-10-rajeb-47245, 30 000 000 
SOCIETE D'AMENAGEMENT D'ESSAOUIRA MOGADOR (SAEMOG), amenagement de la nouvelle station touristique mogador,,,33.531444 : -7.635485,133983,Tribunal de Casablanca,1525538000069.0,,societe-societe-d-amenagement-d-essaouira-mogador-148917, 882 873 792 
BROYCHIM (BROYCHIM), broyage de produits mineraux et produits chimiques., Lot Oukacha Rue 25 M Angle Rue Chefchaounni,Casablanca,33.611775 : -7.529275,42065,Tribunal de Casablanca,83946000057.0,,societe-broychim-56881, 12 000 000 
EPC EXPLO MAROC," fabrication et commerce de produits et accessoires pour l'industrie miniere ""explosifs, cordeaux, detonateurs electriques"""," Commune Machraaben Abbou Et Mzoura, Tribu Ouled Bouziri Ouled Sidi Bendaoud",Settat (M),33 : -7.616666699999996,6775,Tribunal de Settat,80993000054.0,,societe-epc-explo-maroc-66361, 30 046 800 
BOUDERKA, concessionnaire automobile volkswagen," Gueliz, Rue Hassan Ben M'barek, Ndeg29",Marrakech,31.65283 : -8.05155,10667,Tribunal de Marrakech,69999000072.0,,societe-bouderka-93294, 15 000 000 
TOP COMPUTER, importation et commerce de gros de produits informatiques,,,33.55672 : -7.667043,52609,Tribunal de Casablanca,84203000005.0,,societe-top-computer-53629, 10 000 000 
MANAGEM, gestion de valeurs mobiliers," Twin Center, Tour A, Angle Boulevard. Zerktouni Et Boulevard. Al Massira Al Khadra, Bp 16016, Maarif",El Maarif (AR),33.580262 : -7.630217,17883,Tribunal de Casablanca,1540853000075.0,,societe-managem-68453, 1 186 467 600 
CASH PLUS, auxiliaire financier - transfert d'argent," 1 Rue Des Pleiades, 3eme Etage, Des Hopitaux",Casablanca,33.56638 : -7.62534,129325,Tribunal de Casablanca,229434000090.0,,societe-cash-plus-142601, 52 125 000 
TAFILALET TRAVAUX, travaux de construction et de batiments, Centre Commercial Ain Sebaa Imm. Ii Appt. 28 1er Etage Lotissement Al Hadika Ain Sebaa,Ain-Sebaa (AR),33.601564 : -7.545368,154639,Tribunal de Casablanca,1527798000062.0,,societe-tafilalet-travaux-178635, 50 000 000 
FAMILLE DES AGRICULTEURS, domaine d'agricultures - teleboutique, Av Tarik Ibnou Ziad N 12/tetouan,Tanger-Assilah,35.76317 : -5.80375,13931,Tribunal de Tanger,,,societe-famille-des-agriculteurs-93703, 100 000 
AXIOME DISTRIBUTION," distribution des detergents, produits alimentaires, produits de toilette"," Askejour Lot Lamhamid 9, Ndeg 1041",Marrakech,31.6333333 : -8,78357,Tribunal de Marrakech,1563991000029.0,,societe-axiome-distribution-130402, 6 000 000 
CEVA SANTE ANIMALE, import et export - industrie et commerce de produit pharmaceutiques et veterinaires," Lot 132, Zone Industrielle Ould Saleh Bp 39",Oulad Salah,33.414212 : -7.662719,82041,Tribunal de Casablanca,1642592000065.0,,societe-ceva-sante-animale-73420, 14 400 000 
MARITA IMMOBILIERE (SMI), promoteur a la construction d'immeubles. production et exploitation minerais., Lot 0088 Zone D'activite Saknia,Kenitra (M),34.257394 : -6.590154,28485,Tribunal de Kenitra,17513000024.0,,societe-marita-immobiliere-131299, 135 000 000 
STE D'ETUDES ET DE TRAVAUX D'AMENAGEMENT DU TERRITOIRE (SETRAT), travaux de genie civile, 4 Rue Elraich,Rabat,34.011198 : -6.827597,25019,Tribunal de Rabat,1431528000043.0,,societe-ste-d-etudes-et-de-travaux-d-amenagement-du-territoire-15771, 40 000 000 
GENPHARMA," fabrication de drogues pharmaceutiques - fabrication, importation et distribution de produits pharmaceutiques : medicaments generiques", 254-256 Zone Industrielle,El-Jadida (M),33.254174 : -8.508038,2769,Tribunal de Eljadida,1524109000046.0,,societe-genpharma-93566, 30 000 000 
PROARGOS TANGER, promotion et construction immobilieres," Av Prince Heritier, Res. Dar El Farah 3, 2eme Etage, Appartement Ndeg 64",Tanger-Medina (AR),35.7666667 : -5.7999999999999545,26241,Tribunal de Tanger,66428000071.0,,societe-proargos-tanger-162571, 110 000 200 
MOROCCAN SHOES COMPANY (MOROSCO), fabrication de chaussures en cuir, Route 110 Km 12 Bd Chefchaouni Quartier Industriel Sidi Bernoussi,Sidi Bernoussi (AR),33.611775 : -7.529275,35029,Tribunal de Casablanca,1514065000022.0,,societe-moroccan-shoes-company-59439, 220 700 000 
DETAIL INOX MAROC," commerce de tous produits en acier inoxydable, metaux non ferreux, toles aluminium, tubes en acier sans soudure - import et export", 73 Rue Des Oudayas Quartier La Villette,Casablanca,33.585502 : -7.575717,40119,Tribunal de Casablanca,1529573000055.0,,societe-detail-inox-maroc-56236, 10 000 000 
SUPER FOODS, import export, Lot Ndeg207 Zone Industrielle Tassila,Dcheira El Jihadia (M),30.3658333 : -9.538055600000007,737,Tribunal de Inzegane,1518716000060.0,,societe-super-foods-86550, 27 000 000 
RESIDENCES DU SOLEIL, promotion immobiliere, Angle Moulay Youssef / Rue Moussa Ibnou Noussair,Casablanca,33.589365 : -7.629227,143941,Tribunal de Casablanca,1654050000032.0,,societe-residences-du-soleil-165904, 300 000 
SOCIETE MAROCAINE DE TREFILAGE (SOMATREF), galvanisation et trefilage des metaux ferreux et non ferreux, Rue Al Koronful Casablanca Ain Sebaa Hay Mohammedi,Casablanca,33.584454 : -7.548783,31269,Tribunal de Casablanca,1538777000061.0,,societe-societe-marocaine-de-trefilage-61471, 70 000 000 
COMPAGNIE FRANCAISE DE CABLAGE (CFCA MAROC ), fabrication de materiels electriques - fabrication de fils et cables isolants, Zone Industrielle Lot Ii Route De Marrakech,Berrechid (M),33.270982 : -7.584739,489,Tribunal de Berrechid,1575440000045.0,,societe-compagnie-francaise-de-cablage-19796, 3 000 000 
ITALCAR, concessionnaire d'automobiles,,,33.596457 : -7.615478,107669,Tribunal de Casablanca,1535574000018.0,,societe-italcar-113172, 68 500 000 
DAIWA TEX, confection et commerce de tissus textiles, Zone Industrielle,Selouane,35.068294 : -2.929387,7027,Tribunal de Nador,1533017000090.0,,societe-daiwa-tex-202651, 11 000 000 
INTERFER (INTERFER)," importation et distribution des produits metallurgiques, papiers et amenagement d'interieur", 29 Rue Soldat Taoufik Abdelkader -ex Soldat Roch,Casablanca,33.59179 : -7.58384,31793,Tribunal de Casablanca,83741000063.0,,societe-interfer-62483, 60 000 000 
PHONE ASSISTANCE, centre d'appel, 26 Rue Mohamed Kamal,Casablanca,33.59645 : -7.61486,103221,Tribunal de Casablanca,94373000022.0,,societe-phone-assistance-107489, 3 200 000 
ENTREPRISE ZERKDI HAJ BRAHIM ET FILS (E.Z.F), construction de batiment - btp, Rue Moussa Ibnou Noussair Q.i,Agadir (M),30.417012 : -9.582274,435,Tribunal de Agadir,1548088000088.0,,societe-entreprise-zerkdi-haj-brahim-et-fils-33293, 20 000 000 
SGTM OFF SHORE, travaux de terrassement assainissement et chaussees, Lot Dependant Du Titre Foncier N 18 933/19 Zone Franche De Ksar El Majaz Oued R'mel Commune Anjra Rt,Tanger-Assilah,35.666674 : -5.511126,25995,Tribunal de Tanger,226413000080.0,,societe-sgtm-off-shore-164781, 500 000 
NOUVELLE STE MAGIDEUTZ, importation et distribution du materiel industriel et marin," Zone Industrielle Sapino, Lot Ndeg 1131 Nouacer",Casablanca,33.589521 : -7.600375,17201,Tribunal de Casablanca,1525747000052.0,,societe-nouvelle-ste-magideutz-65910, 10 000 000 
RMO TRAVAIL TEMPORAIRE, l'intermediation en matiere de recrutement et d'embauchage prevue a l'article 477 du livre iv de la loi 65 - 99 relative au code du travail - embaucher des salaries en vue de les mettre a titre temporaire ou interimaire a la disposition de toute entreprise utilisatrice qui fixe leurs taches et en controle l'execution ; - rapprocher les demandes et les offres d'emploi ; - offrir tout autre service concernant les recherches d'emploi ou visant a favoriser l'insertion professionnelle des demandeurs d'emploi et generalement toutes operations pouvant se rattacher directement ou indirectement a la realisation des missions prevues par l'article cite ci - dessus ou tous objets similaires ou annexe, Residence Joyau Iv Rue Ibnou Al Mouaataz Belvedere,Casablanca,33.593116 : -7.595907,110445,Tribunal de Casablanca,517795000048.0,,societe-rmo-travail-temporaire-120520, 7 500 000 
BOGART, confection pret a porter masculin et feminin : pantalons sportwear - commerce de vetements, Lot 145 Zone Industrielle Ben M'sick Sidi Othmane Moulay Rachid,Casablanca,33.573358 : -7.552594,46441,Tribunal de Casablanca,1544221000028.0,,societe-bogart-56428, 10 000 000 
SANILEC (SANILEC )," vente de materiel sanitaire, chauffage et robinetterie", Zone Industrielle Agropolis Route Hadj Kaddour Ndeg12/1 Et Ndeg12/2.,Meknes (M),33.844763 : -5.52282,17473,Tribunal de Meknes,1702520000066.0,,societe-sanilec-192485, 24 000 000 
INDUSTRIE TEXTILE (ITEX), industrie du textile - commerce de gros de tissus pour le textile," 541, Bd Mohamed Vi",Casablanca,33.573915 : -7.597985,35553,Tribunal de Casablanca,1536860000022.0,,societe-industrie-textile-61339, 105 000 000 
